time,pos_x,pos_y
7.304554,-0.000602776,0.004445043
7.308632,-0.000539276,0.004222793
7.312712,-0.000507523,0.004064044
7.316789,-0.000475777,0.003905293
7.320874,-0.000444031,0.003714794
7.324955,-0.000412285,0.003556043
7.329033,-0.000412285,0.003429043
7.333114,-0.000380539,0.003270293
7.337291,-0.000380539,0.003143293
7.341277,-0.000380539,0.002952793
7.345377,-0.000380539,0.002857544
7.349456,-0.000380539,0.002730544
7.353547,-0.000380539,0.002603543
7.357599,-0.000380539,0.002508293
7.361771,-0.000380539,0.002413043
7.365771,-0.000412285,0.002317794
7.369853,-0.000444031,0.002222543
7.373932,-0.000444031,0.002127293
7.378014,-0.000475777,0.002032043
7.382091,-0.000507523,0.001968543
7.386172,-0.000507523,0.001873293
7.390249,-0.000539276,0.001778043
7.39433,-0.000539276,0.001714543
7.398408,-0.000571022,0.001619293
7.402488,-0.000571022,0.001587543
7.406567,-0.000602768,0.001524043
7.410644,-0.000602768,0.001492293
7.414724,-0.000634514,0.001460543
7.418804,-0.000634514,0.001428793
7.422882,-0.000634514,0.001397043
7.426951,-0.00066626,0.001365293
7.43104,-0.00066626,0.001365293
7.43511,-0.00066626,0.001333543
7.439287,-0.00066626,0.001333543
7.443271,-0.000698006,0.001301793
7.447324,-0.000698006,0.001301793
7.451402,-0.000698006,0.001301793
7.455519,-0.000698006,0.001301793
7.459587,-0.000698006,0.001270043
7.463637,-0.000698006,0.001270043
7.467717,-0.000698006,0.001270043
7.471834,-0.000698006,0.001270043
7.475901,-0.000698006,0.001238293
7.479955,-0.000698006,0.001238293
7.484071,-0.000698006,0.001238293
7.488152,-0.000698006,0.001206543
7.492231,-0.000729752,0.001206543
7.496299,-0.000729752,0.001174793
7.500353,-0.000729752,0.001174793
7.504468,-0.000729752,0.001174793
7.508538,-0.000729752,0.001143043
7.512598,-0.000729752,0.001143043
7.516674,-0.000729752,0.001143043
7.520753,-0.000729752,0.001143043
7.52483,-0.000729752,0.001143043
7.528953,-0.000729752,0.001143043
7.533021,-0.000729752,0.001111293
7.537071,-0.000729752,0.001111293
7.541152,-0.000729752,0.001111293
7.545231,-0.000729752,0.001111293
7.549308,-0.000729752,0.001111293
7.553394,-0.000729752,0.001111293
7.557471,-0.000729752,0.001111293
7.561552,-0.000729752,0.001111293
7.565638,-0.000729752,0.001111293
7.569758,-0.000729752,0.001111293
7.573828,-0.000698006,0.001111293
7.577877,-0.000698006,0.001111293
7.581955,-0.000698006,0.001111293
7.586072,-0.000698006,0.001111293
7.590138,-0.00066626,0.001111293
7.594231,-0.00066626,0.001111293
7.598309,-0.000634514,0.001111293
7.602389,-0.000634514,0.001079543
7.606458,-0.000602768,0.001079543
7.610546,-0.000602768,0.001079543
7.614616,-0.000571022,0.001079543
7.61871,-0.000571022,0.001079543
7.622773,-0.000539276,0.001047793
7.626827,-0.000539276,0.001047793
7.630945,-0.000539276,0.001047793
7.635014,-0.000507523,0.001016043
7.639107,-0.000507523,0.001016043
7.643184,-0.000475777,0.000984293
7.647266,-0.000475777,0.000952543
7.651343,-0.000444031,0.000952543
7.655424,-0.000412285,0.000920793
7.659505,-0.000412285,0.000889043
7.663583,-0.000380539,0.000857293
7.667664,-0.000348793,0.000793793
7.671742,-0.000317047,0.000762043
7.675824,-0.000285301,0.000730293
7.679906,-0.000253548,0.000698543
7.683983,-0.000221802,0.000635043
7.688298,-0.000190056,0.000603293
7.688304,-0.000190056,0.000603293
7.692475,-0.000126564,0.000539793
7.696231,-9.48E-05,0.000508043
7.700297,-6.31E-05,0.000476293
7.704363,-6.31E-05,0.000476293
7.708442,-6.31E-05,0.000476293
7.71252,-6.31E-05,0.000476293
7.716597,-6.31E-05,0.000476293
7.720676,-6.31E-05,0.000476293
7.724754,-6.31E-05,0.000476293
7.728834,-6.31E-05,0.000476293
7.732913,-6.31E-05,0.000476293
7.73699,-6.31E-05,0.000476293
7.741099,-6.31E-05,0.000476293
7.745149,-6.31E-05,0.000476293
7.749251,-6.31E-05,0.000476293
7.753311,-9.48E-05,0.000476293
7.757404,-9.48E-05,0.000476293
